Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-1.9345,0.48706,0.037747,0,0,0,0.45471,0.0019505,-1.132E-06,-7.5164E-09,0.0019507,7.1475E-10,0.00081351,0,0,0,0,0,0,package://OTlights/meshes/base.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://OTlights/meshes/base.STL,,SCREW-2;hex nut style 2_am-2;hex flange bolt small_iso-1;ceiling plate-1;hex nut style 2_am-12;WASHER-7;roulement_51204_2-5/roulement_51204_2_01-1;roulement_51204_2-5/roulement_51204_2_03-1;roulement_51204_2-5/roulement_51204_2_02-1;LARGE BELT PULLEY-3;shaft1-3;motor(ref.model)-1;torque nut 12_iso-2;torque nut 12_iso-3;roulement_51204_2-6/roulement_51204_2_02-1;WASHER-8;roulement_51204_2-6/roulement_51204_2_03-1;roulement_51204_2-6/roulement_51204_2_01-1;CONNECT-1;radial ball bearing_68_iso-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
p1,0.002116,-8.3286E-08,0.065639,0,0,0,0.036515,8.7543E-05,4.8946E-11,-7.2263E-07,8.9539E-05,7.2664E-11,1.1438E-05,0,0,0,0,0,0,package://OTlights/meshes/p1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://OTlights/meshes/p1.STL,,pipe-1,Origin_p1_base,Axis1,p1_base,revolute,-1.9294,0.48153,0.0743,0,0,2.3111,base,0,0,1,0,0,0,0,,,,,,,,
p2,2.1649E-15,5.7732E-15,0.35,0,0,0,0.14074,0.0057651,1.3553E-18,-3.3534E-17,0.0057651,-9.7294E-17,3.6171E-05,0,0,0,0,0,0,package://OTlights/meshes/p2.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://OTlights/meshes/p2.STL,,ARM1-1,Origin_p2_p1,Axis2,p2_p1,fixed,0.71934,0,0.075,-1.5708,-1.3246,1.5708,p1,0,0,0,,,,,,,,,,,,
fx1,0.0073925,-0.034067,0.039331,0,0,0,0.31656,0.00046077,2.7227E-05,-1.3344E-06,0.0003403,6.1355E-06,0.00022188,0,0,0,0,0,0,package://OTlights/meshes/fx1.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://OTlights/meshes/fx1.STL,,hex nut style 2_am-11;joint cap1-3;motor(ref.model)-3;WASHER-5;WASHER-4;roulement_51204_2-4/roulement_51204_2_01-1;roulement_51204_2-4/roulement_51204_2_03-1;LARGE BELT PULLEY-2;roulement_51204_2-4/roulement_51204_2_02-1;shaft2-4;screw3-1;WASHER-6;roulement_51204_2-3/roulement_51204_2_02-1;roulement_51204_2-3/roulement_51204_2_03-1;roulement_51204_2-3/roulement_51204_2_01-1,Origin_fx1_p2,Axis3,fx1_p2,fixed,-0.021193,0.0053249,-0.018607,1.5708,0.21369,1.3246,p2,0,0,0,,,,,,,,,,,,
p3,0.0015452,5.3916E-09,0.01106,0,0,0,0.080239,8.5758E-05,4.518E-12,-1.1269E-06,8.8667E-05,-5.5409E-11,1.7543E-05,0,0,0,0,0,0,package://OTlights/meshes/p3.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://OTlights/meshes/p3.STL,,joint cap-4,Origin_p3_fx1,Axis3,p3_fx1,revolute,0,0,0.132,3.1416,0,-1.3571,fx1,0,0,1,0,0,0,0,,,,,,,,
p4,2.2204E-15,-1.41E-14,0.25,0,0,0,0.10053,0.0021073,5.421E-20,-2.8909E-18,0.0021073,2.9623E-17,2.5836E-05,0,0,0,0,0,0,package://OTlights/meshes/p4.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://OTlights/meshes/p4.STL,,arm2-1,Origin_p4_p3,Axis4,p4_p3,fixed,0.52,0,0.020149,-1.5708,-0.2902,1.5708,p3,0,0,0,,,,,,,,,,,,
fx2,-0.036156,1.4771E-07,0.010135,0,0,0,0.30522,0.00020267,4.1837E-08,-6.2811E-06,0.00033507,-3.2394E-09,0.00022147,0,0,0,0,0,0,package://OTlights/meshes/fx2.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://OTlights/meshes/fx2.STL,,joint cap1-1;motor(ref.model)-4;shaft2-5;hex nut style 2_am-10;WASHER-1;WASHER-2;roulement_51204_2-2/roulement_51204_2_02-1;roulement_51204_2-2/roulement_51204_2_03-1;roulement_51204_2-2/roulement_51204_2_01-1;LARGE BELT PULLEY-1;screw2-1;WASHER-3;roulement_51204_2-1/roulement_51204_2_01-1;roulement_51204_2-1/roulement_51204_2_03-1;roulement_51204_2-1/roulement_51204_2_02-1,Origin_fx2_p4,Axis5,fx2_p4,fixed,-0.0057654,0.019306,-0.02,1.2806,-1.5708,0,p4,0,0,0,,,,,,,,,,,,
p5,-5.7425E-08,-1.9798E-08,0.013278,0,0,0,0.017945,6.984E-06,6.7418E-11,7.7363E-11,1.134E-05,1.985E-11,8.9877E-06,0,0,0,0,0,0,package://OTlights/meshes/p5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://OTlights/meshes/p5.STL,,pipe3-1,Origin_p5_fx2,Axis6,p5_fx2,revolute,0,0,-0.044,3.1416,0,-3.1358,fx2,1,0,0,0,0,0,0,,,,,,,,
g,-0.048205,-0.086775,-1.3092E-07,0,0,0,1.1195,0.010098,8.2488E-07,4.0127E-08,0.0073834,8.9878E-09,0.01707,0,0,0,0,0,0,package://OTlights/meshes/g.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://OTlights/meshes/g.STL,,gimballink2-1;gimballink1-1;hex flange bolt small_iso-7;motor holder3-1;motor(ref.model)-2;torque nut 12_iso-4;instrument ball bearing_ai-8;instrument ball bearing_ai-9,Origin_g_p5,Axis6,g_p5,fixed,-0.025,0,0.02,-1.5708,0,-3.1416,p5,0,0,0,,,,,,,,,,,,
pi,2.3807E-10,-1.0223E-10,0.052279,0,0,0,0.066369,1.8605E-05,-6.574E-14,-1.4177E-13,1.8605E-05,-2.1783E-13,2.5445E-05,0,0,0,0,0,0,package://OTlights/meshes/pi.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://OTlights/meshes/pi.STL,,shaft3-4;straight bevel pinion_iso-1,Origin_pi_g,Axis8,pi_g,revolute,-0.245,-0.1075,0,-1.5708,1.0659,-3.1416,g,0,0,-1,0,0,0,0,,,,,,,,
