Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-1.9367,0.051046,-0.48949,0,0,0,0.59308,0.0021857,-4.1073E-06,-0.00016634,0.0012416,-4.4453E-06,0.0021588,0,0,0,0,0,0,package://OT4/meshes/base.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://OT4/meshes/base.STL,,SCREW-2;hex nut style 2_am-2;ceiling plate-1;hex flange bolt small_iso-1;torque nut 12_iso-2;new motor holder1-1;torque nut 12_iso-3;hex nut style 2_am-12;shaft1-3;motor(ref.model)-1;WASHER-7;roulement_51204_2-5/roulement_51204_2_01-1;roulement_51204_2-5/roulement_51204_2_03-1;roulement_51204_2-5/roulement_51204_2_02-1;LARGE BELT PULLEY-3;radial ball bearing_68_iso-1;CONNECT-1;roulement_51204_2-6/roulement_51204_2_01-1;roulement_51204_2-6/roulement_51204_2_03-1;roulement_51204_2-6/roulement_51204_2_02-1;WASHER-8,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
p1,0.002116,-8.3286E-08,0.065639,0,0,0,0.036515,8.7543E-05,4.8946E-11,-7.2263E-07,8.9539E-05,7.2664E-11,1.1438E-05,0,0,0,0,0,0,package://OT4/meshes/p1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://OT4/meshes/p1.STL,,pipe-1,Origin_p1_base,Axis1,p1_base,revolute,-1.9294,0.48153,0.0743,0,0,2.3111,base,0,0,0,0,0,0,0,,,,,,,,
p2,2.0539E-15,5.7732E-15,0.35,0,0,0,0.14074,0.0057651,-1.0842E-19,-3.2553E-17,0.0057651,-9.3331E-17,3.6171E-05,0,0,0,0,0,0,package://OT4/meshes/p2.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://OT4/meshes/p2.STL,,ARM1-1,Origin_p2_p1,Axis2,p2_p1,fixed,0.71934,0,0.075,-1.5708,-1.3246,1.5708,p1,0,0,0,,,,,,,,,,,,
fs1,0.0073925,-0.034067,0.039331,0,0,0,0.31656,0.00046077,2.7227E-05,-1.3344E-06,0.0003403,6.1355E-06,0.00022188,0,0,0,0,0,0,package://OT4/meshes/fs1.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://OT4/meshes/fs1.STL,,hex nut style 2_am-11;screw3-1;joint cap1-3;motor(ref.model)-3;shaft2-4;WASHER-4;roulement_51204_2-4/roulement_51204_2_01-1;roulement_51204_2-4/roulement_51204_2_03-1;roulement_51204_2-4/roulement_51204_2_02-1;LARGE BELT PULLEY-2;roulement_51204_2-3/roulement_51204_2_01-1;roulement_51204_2-3/roulement_51204_2_03-1;roulement_51204_2-3/roulement_51204_2_02-1;WASHER-6;WASHER-5,Origin_fs1_p2,Axis3,fs1_p2,fixed,-0.021193,0.0053249,-0.018607,1.5708,0.21369,1.3246,p2,0,0,0,,,,,,,,,,,,
p3,0.0015452,5.3916E-09,0.01106,0,0,0,0.080239,8.5758E-05,4.518E-12,-1.1269E-06,8.8667E-05,-5.5409E-11,1.7543E-05,0,0,0,0,0,0,package://OT4/meshes/p3.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://OT4/meshes/p3.STL,,joint cap-4,Origin_p3_fs1,Axis3,p3_fs1,revolute,0,0,0.132,3.1416,0,-1.3571,fs1,0,0,0,0,0,0,0,,,,,,,,
p4,6.6613E-16,-6.6613E-16,0.25,0,0,0,0.10053,0.0021073,-5.9631E-19,-4.0132E-18,0.0021073,2.9346E-17,2.5836E-05,0,0,0,0,0,0,package://OT4/meshes/p4.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://OT4/meshes/p4.STL,,arm2-1,Origin_p4_p3,Axis4,p4_p3,fixed,0.52,0,0.020149,-1.5708,-0.2902,1.5708,p3,0,0,0,,,,,,,,,,,,
fs2,0.035823,0.0048987,0.11314,0,0,0,0.30522,0.00020509,-1.7733E-05,6.2227E-06,0.00033265,8.5425E-07,0.00022147,0,0,0,0,0,0,package://OT4/meshes/fs2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://OT4/meshes/fs2.STL,,screw2-1;WASHER-3;roulement_51204_2-1/roulement_51204_2_01-1;roulement_51204_2-1/roulement_51204_2_03-1;roulement_51204_2-1/roulement_51204_2_02-1;LARGE BELT PULLEY-1;roulement_51204_2-2/roulement_51204_2_01-1;roulement_51204_2-2/roulement_51204_2_03-1;roulement_51204_2-2/roulement_51204_2_02-1;WASHER-2;joint cap1-1;shaft2-5;motor(ref.model)-4;hex nut style 2_am-10;WASHER-1,Origin_fs2_p4,Axis5,fs2_p4,fixed,-0.035238,0.118,-0.02,-1.5708,1.4349,-2.8514,p4,0,0,0,,,,,,,,,,,,
p5,-5.7425E-08,-1.9798E-08,0.013278,0,0,0,0.017945,6.984E-06,6.7418E-11,7.7363E-11,1.134E-05,1.985E-11,8.9877E-06,0,0,0,0,0,0,package://OT4/meshes/p5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://OT4/meshes/p5.STL,,pipe3-1,Origin_p5_fs2,Axis5,p5_fs2,revolute,0,0,0.059,3.1416,0,0.14171,fs2,0,0,0,0,0,0,0,,,,,,,,
g,-0.024624,-0.087409,-1.4658E-07,0,0,0,0.99972,0.01001,8.2488E-07,1.3832E-08,0.0073427,8.9883E-09,0.016987,0,0,0,0,0,0,package://OT4/meshes/g.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://OT4/meshes/g.STL,,gimballink2-1;gimballink1-1;instrument ball bearing_ai-9;instrument ball bearing_ai-8,Origin_g_p5,Axis6,g_p5,fixed,-0.025,0,0.02,-1.5708,0,-3.1416,p5,0,0,0,,,,,,,,,,,,
hold,0.081478,-2.3539E-10,-5.4321E-12,0,0,0,0.11979,4.0756E-05,6.2834E-13,4.5777E-15,8.5021E-05,2.6988E-06,8.6176E-05,0,0,0,0,0,0,package://OT4/meshes/hold.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://OT4/meshes/hold.STL,,hex flange bolt small_iso-7;motor holder3-1;torque nut 12_iso-4;motor(ref.model)-2,Origin_hold_g,Axis9,hold_g,fixed,-0.245,0,0,2.2555,0,-1.5708,g,-1,0,0,,,,,,,,,,,,
