Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
b,-0.010823,0.051046,-9.2894E-09,0,0,0,0.59308,0.0020054,-6.0542E-06,3.485E-09,0.0012416,-7.1475E-10,0.0023392,0,0,0,0,0,0,package://ot2/meshes/b.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://ot2/meshes/b.STL,,SCREW-2;hex nut style 2_am-2;hex flange bolt small_iso-1;ceiling plate-1;hex nut style 2_am-12;WASHER-7;roulement_51204_2-5/roulement_51204_2_01-1;roulement_51204_2-5/roulement_51204_2_02-1;roulement_51204_2-5/roulement_51204_2_03-1;shaft1-3;motor(ref.model)-1;new motor holder1-1;radial ball bearing_68_iso-1;LARGE BELT PULLEY-3;torque nut 12_iso-2;torque nut 12_iso-3;CONNECT-1;roulement_51204_2-6/roulement_51204_2_01-1;roulement_51204_2-6/roulement_51204_2_03-1;roulement_51204_2-6/roulement_51204_2_02-1;WASHER-8,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
p1,0.0021162,-4.5735E-08,0.065639,0,0,0,0.036515,8.7543E-05,2.8658E-11,-7.2267E-07,8.9539E-05,3.6532E-11,1.1438E-05,0,0,0,0,0,0,package://ot2/meshes/p1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ot2/meshes/p1.STL,,pipe-1,Origin_p1_b,Axis1,p1_b,revolute,0,0,0.0743,0,0,3.1416,b,0,0,0,0,0,0,0,,,,,,,,
p2,-0.00032582,8.1858E-05,0.094149,0,0,0,0.36223,0.0059748,-2.3294E-06,6.0458E-06,0.0059661,-1.7128E-06,0.00010437,0,0,0,0,0,0,package://ot2/meshes/p2.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://ot2/meshes/p2.STL,,ARM1-1;joint cap1-3;motor(ref.model)-3;shaft2-4,Origin_p2_p1,Axis2,p2_p1,fixed,0.71934,0,0.075,-1.5708,-1.3246,1.5708,p1,0,0,0,,,,,,,,,,,,
fs1,-3.0142E-07,-3.1812E-07,0.059484,0,0,0,0.095072,0.00026624,5.1204E-11,-2.4543E-09,0.00026624,-3.3163E-09,1.1619E-05,0,0,0,0,0,0,package://ot2/meshes/fs1.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://ot2/meshes/fs1.STL,,hex nut style 2_am-11;screw3-1;WASHER-5;WASHER-4;roulement_51204_2-4/roulement_51204_2_01-1;roulement_51204_2-4/roulement_51204_2_03-1;roulement_51204_2-4/roulement_51204_2_02-1;LARGE BELT PULLEY-2;roulement_51204_2-3/roulement_51204_2_01-1;roulement_51204_2-3/roulement_51204_2_03-1;roulement_51204_2-3/roulement_51204_2_02-1;WASHER-6,Origin_fs1_p2,Axis3,fs1_p2,fixed,0,0,-0.018607,1.5708,1.0442,1.3246,p2,0,0,-1,,,,,,,,,,,,
p3,0.0015452,2.1459E-09,0.01106,0,0,0,0.080238,8.5759E-05,1.2391E-11,-1.127E-06,8.8667E-05,-5.025E-11,1.7543E-05,0,0,0,0,0,0,package://ot2/meshes/p3.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://ot2/meshes/p3.STL,,joint cap-4,Origin_p3_fs1,Axis3,p3_fs1,revolute,0,0,0.11015,3.1416,0,-0.52661,fs1,0,0,0,0,0,0,0,,,,,,,,
p4,0.00010814,-0.00036209,0.030022,0,0,0,0.32202,0.0023086,-2.6763E-06,-1.8378E-06,0.0023168,6.0062E-06,9.3937E-05,0,0,0,0,0,0,package://ot2/meshes/p4.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://ot2/meshes/p4.STL,,arm2-1;joint cap1-1;motor(ref.model)-4;shaft2-5,Origin_p4_p3,Axis4,p4_p3,fixed,0.52,0,0.020149,-1.5708,-0.2902,1.5708,p3,0,0,0,,,,,,,,,,,,
fs2,2.2662E-07,-4.4331E-07,-0.037957,0,0,0,0.083723,0.00013457,-3.549E-11,-9.4596E-10,0.00013457,2.9341E-09,1.1209E-05,0,0,0,0,0,0,package://ot2/meshes/fs2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ot2/meshes/fs2.STL,,screw2-1;hex nut style 2_am-10;WASHER-1;WASHER-2;roulement_51204_2-2/roulement_51204_2_02-1;roulement_51204_2-2/roulement_51204_2_03-1;roulement_51204_2-2/roulement_51204_2_01-1;LARGE BELT PULLEY-1;roulement_51204_2-1/roulement_51204_2_02-1;roulement_51204_2-1/roulement_51204_2_03-1;roulement_51204_2-1/roulement_51204_2_01-1;WASHER-3,Origin_fs2_p4,Axis5,fs2_p4,fixed,0,0,-0.02,1.5708,0.8762,0.2902,p4,0,0,-1,,,,,,,,,,,,
p5,-5.7425E-08,-1.9679E-08,0.013278,0,0,0,0.017945,6.984E-06,6.7418E-11,7.7363E-11,1.134E-05,1.985E-11,8.9877E-06,0,0,0,0,0,0,package://ot2/meshes/p5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ot2/meshes/p5.STL,,pipe3-1,Origin_p5_fs2,Axis5,p5_fs2,revolute,0,0,-0.064149,3.1416,0,-0.69459,fs2,0,0,0,0,0,0,0,,,,,,,,
g,-0.02462,-0.085027,-1.5042E-07,0,0,0,0.98684,0.010006,8.2606E-07,1.3795E-08,0.0073409,9.0497E-09,0.016985,0,0,0,0,0,0,package://ot2/meshes/g.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ot2/meshes/g.STL,,gimballink2-1;gimballink1-1,Origin_g_p5,Axis6,g_p5,fixed,-0.025,0,0.02,-1.5708,0,3.1416,p5,0,0,0,,,,,,,,,,,,
mh,0.081478,-2.8024E-10,-1.2284E-11,0,0,0,0.11979,4.0756E-05,6.2834E-13,4.5777E-15,8.5021E-05,2.6988E-06,8.6176E-05,0,0,0,0,0,0,package://ot2/meshes/mh.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://ot2/meshes/mh.STL,,hex flange bolt small_iso-7;torque nut 12_iso-4;motor holder3-1;motor(ref.model)-2,Origin_mh_g,Axis8,mh_g,fixed,-0.245,0,0,1.4192,0,-1.5708,g,-1,0,0,,,,,,,,,,,,
pi,-1.7824E-10,1.0497E-10,0.052279,0,0,0,0.066369,1.8605E-05,4.3118E-15,2.2584E-13,1.8605E-05,-4.0191E-13,2.5445E-05,0,0,0,0,0,0,package://ot2/meshes/pi.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ot2/meshes/pi.STL,,shaft3-4;straight bevel pinion_iso-1,Origin_pi_mh,Axis8,pi_mh,revolute,0.1075,0,0,1.5708,1.3666,1.5708,mh,0,0,-1,0,0,0,0,,,,,,,,
cr,-0.16855,-0.0011496,0.0012013,0,0,0,5.121,0.026495,-2.1816E-08,2.2425E-08,0.034011,-0.0089322,0.034799,0,0,0,0,0,0,package://ot2/meshes/cr.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://ot2/meshes/cr.STL,,straight bevel gear_iso-5;connector2-1;instrument ball bearing_ai-8;light2-1;connector3-1,Origin_cr_pi,Axis10,cr_pi,revolute,0.035842,-0.0018867,0.1625,2.3782,0,3.089,pi,0,0,0,0,0,0,0,,,,,,,,
dc,4.3553E-06,-0.0019065,0.013922,0,0,0,0.096334,1.653E-05,-1.2019E-12,-4.4707E-09,9.728E-05,-6.6213E-17,0.00010142,0,0,0,0,0,0,package://ot2/meshes/dc.STL,0.64706,0.61961,0.6,1,0,0,0,0,0,0,package://ot2/meshes/dc.STL,,depthcam-2;instrument ball bearing_ai-9,Origin_dc_cr,Axis9,dc_cr,fixed,-0.38455,-0.010371,0.010838,3.1416,-0.76338,1.5708,cr,0,0,0,,,,,,,,,,,,
