Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
b,0.0108230167178515,9.27600352705151E-09,-0.0510461125589844,0,0,0,0.593077727132138,0.00200538179080162,3.48493771653903E-09,-6.05424653432736E-06,0.00233915051923309,-7.1467407839396E-10,0.00124160566424522,0,0,0,0,0,0,package://otf/meshes/b.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://otf/meshes/b.STL,,SCREW-2;hex nut style 2_am-2;hex flange bolt small_iso-1;ceiling plate-1;hex nut style 2_am-12;WASHER-7;roulement_51204_2-5/roulement_51204_2_01-1;roulement_51204_2-5/roulement_51204_2_02-1;roulement_51204_2-5/roulement_51204_2_03-1;shaft1-3;motor(ref.model)-1;new motor holder1-1;radial ball bearing_68_iso-1;LARGE BELT PULLEY-3;torque nut 12_iso-2;torque nut 12_iso-3;CONNECT-1;roulement_51204_2-6/roulement_51204_2_01-1;roulement_51204_2-6/roulement_51204_2_03-1;roulement_51204_2-6/roulement_51204_2_02-1;WASHER-8,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
p1,0.00211622618021025,-4.52844711506674E-08,0.0656387309699442,0,0,0,0.0365148827381756,8.75427933934605E-05,2.8909347058332E-11,-7.22667692463702E-07,8.95387938844499E-05,3.70680544504623E-11,1.14378225787831E-05,0,0,0,0,0,0,package://otf/meshes/p1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://otf/meshes/p1.STL,,pipe-1,Origin_p1_b,Axis1,p1_b,revolute,0,0,-0.0743,3.1416,0,0,b,0,0,1,0,0,0,0,,,,,,,,
p2,-0.000325816761221259,8.1857460137516E-05,0.0941493404932696,0,0,0,0.362229191396754,0.00597476663521978,-2.32943390262284E-06,6.04575323182545E-06,0.00596608087269397,-1.7128273249715E-06,0.000104366948766741,0,0,0,0,0,0,package://otf/meshes/p2.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://otf/meshes/p2.STL,,ARM1-1;joint cap1-3;motor(ref.model)-3;shaft2-4,Origin_p2_p1,Axis2,p2_p1,fixed,0.71934,0,0.075,-1.5708,-1.3246,1.5708,p1,0,0,0,,,,,,,,,,,,
fs1,-3.01460369667161E-07,-3.1819825496715E-07,0.0594837330349332,0,0,0,0.095072361461563,0.000266239310450197,5.12057408803769E-11,-2.45428478945114E-09,0.000266239345919637,-3.31630361044051E-09,1.16188586500563E-05,0,0,0,0,0,0,package://otf/meshes/fs1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://otf/meshes/fs1.STL,,hex nut style 2_am-11;screw3-1;WASHER-5;WASHER-4;roulement_51204_2-4/roulement_51204_2_01-1;roulement_51204_2-4/roulement_51204_2_03-1;roulement_51204_2-4/roulement_51204_2_02-1;LARGE BELT PULLEY-2;roulement_51204_2-3/roulement_51204_2_01-1;roulement_51204_2-3/roulement_51204_2_03-1;roulement_51204_2-3/roulement_51204_2_02-1;WASHER-6,Origin_fs1_p2,Axis3,fs1_p2,fixed,0,0,-0.018607,1.5708,1.0442,1.3246,p2,0,0,0,,,,,,,,,,,,
p3,0.00154516873116206,2.23333015237263E-09,0.0110596752348162,0,0,0,0.080238478316838,8.57585076910375E-05,1.23908111035887E-11,-1.12695292778759E-06,8.86667116101849E-05,-5.0243694014807E-11,1.75427554147157E-05,0,0,0,0,0,0,package://otf/meshes/p3.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://otf/meshes/p3.STL,,joint cap-4,Origin_p3_fs1,Axis3,p3_fs1,revolute,0,0,0.11015,3.1416,0,-0.52661,fs1,0,0,-1,0,0,0,0,,,,,,,,
p4,0.000108140331570555,-0.000362090118619984,0.0300219831287907,0,0,0,0.322016805430805,0.00230859781580296,-2.67628732946519E-06,-1.83777399315252E-06,0.00231676034514645,6.00616085182227E-06,9.39370121971393E-05,0,0,0,0,0,0,package://otf/meshes/p4.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://otf/meshes/p4.STL,,arm2-1;joint cap1-1;motor(ref.model)-4;shaft2-5,Origin_p4_p3,Axis4,p4_p3,fixed,0.52,0,0.020149,-1.5708,-0.2902,1.5708,p3,0,0,0,,,,,,,,,,,,
fs2,2.26682828174951E-07,-4.43239558056696E-07,-0.0379572962453974,0,0,0,0.0837234282999245,0.000134568693720268,-3.54902221367105E-11,-9.45955392595141E-10,0.000134568782084101,2.93406398061929E-09,1.12088787441517E-05,0,0,0,0,0,0,package://otf/meshes/fs2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://otf/meshes/fs2.STL,,screw2-1;hex nut style 2_am-10;WASHER-1;WASHER-2;roulement_51204_2-2/roulement_51204_2_02-1;roulement_51204_2-2/roulement_51204_2_03-1;roulement_51204_2-2/roulement_51204_2_01-1;LARGE BELT PULLEY-1;roulement_51204_2-1/roulement_51204_2_02-1;roulement_51204_2-1/roulement_51204_2_03-1;roulement_51204_2-1/roulement_51204_2_01-1;WASHER-3,Origin_fs2_p4,Axis5,fs2_p4,fixed,0,0,-0.0200000000000002,1.5707963267949,0.876203987801579,0.290201760753576,p4,-0.640072280782535,-0.768314698137322,0,,,,,,,,,,,,
p5,-5.74248963935986E-08,-1.97742632232382E-08,0.0132778883382069,0,0,0,0.0179453319684086,6.98401847085854E-06,6.7418028603697E-11,7.73625800221767E-11,1.13398680905365E-05,1.9850218842681E-11,8.98770774563359E-06,0,0,0,0,0,0,package://otf/meshes/p5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://otf/meshes/p5.STL,,pipe3-1,Origin_p5_fs2,Axis5,p5_fs2,revolute,0,0,-0.064148533521579,3.14159265358979,0,-0.694592338993318,fs2,0,0,-1,0,0,0,0,,,,,,,,
g,-0.0246195093001971,-0.0850273498456152,-1.50385637951443E-07,0,0,0,0.9868423672785,0.0100062619759924,8.26058732399364E-07,1.3795482592097E-08,0.00734091135017044,9.05059039572444E-09,0.0169853275093895,0,0,0,0,0,0,package://otf/meshes/g.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://otf/meshes/g.STL,,gimballink2-1;gimballink1-1,Origin_g_p5,Axis6,g_p5,fixed,-0.0249999999999986,0,0.0199999999999965,-1.5707963267949,0,3.14159265358979,p5,0,0,0,,,,,,,,,,,,
mh,0.0814784816223914,-2.46862336128473E-10,-7.08988423525625E-12,0,0,0,0.119789198842206,4.07555728965012E-05,6.22665721635199E-13,3.70263505138604E-15,8.50206916250546E-05,2.69880925773866E-06,8.61759607077169E-05,0,0,0,0,0,0,package://otf/meshes/mh.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://otf/meshes/mh.STL,,hex flange bolt small_iso-7;torque nut 12_iso-4;motor holder3-1;motor(ref.model)-2,Origin_mh_g,Axis8,mh_g,fixed,-0.244999999999999,0,0,1.41923084369896,0,-1.5707963267949,g,0,-0.150985853132846,0.988535923552476,,,,,,,,,,,,
